language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
italian,LR,relationformVERB deprelneg relationformNOUN chargrams Sidorovbigramsupostag ngram,0.712,0.565,0.630,0.638,0.770,0.698,0.675,0.668,0.664,0.667,3977,872
english,RF,deprelneg deprel Sidorovbigramsupostag chargrams relationformADJ,0.745,0.698,0.721,0.581,0.637,0.607,0.663,0.667,0.664,0.674,3834,784
english,RF,ngrams deprelneg deprel chargram,0.741,0.708,0.724,0.584,0.624,0.603,0.663,0.666,0.664,0.675,3834,784
english,RF,ngrams deprelneg Sidorovbigramsdeprel deprel chargrams relationformADJ relationformNOUN,0.745,0.698,0.721,0.581,0.637,0.607,0.663,0.667,0.664,0.674,3834,784
italian,RF,ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg relationformNOUN,0.671,0.648,0.659,0.658,0.681,0.669,0.664,0.664,0.664,0.664,3977,872
italian,RF,ngrams Sidorovbigramsdeprel relationformVERB deprelneg relationformNOUN,0.689,0.604,0.644,0.646,0.726,0.684,0.668,0.665,0.664,0.665,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag,0.672,0.643,0.657,0.656,0.685,0.670,0.664,0.664,0.664,0.664,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB relationformNOUN,0.671,0.645,0.658,0.657,0.683,0.670,0.664,0.664,0.664,0.664,3977,872
italian,LR,relationformVERB deprel relationformNOUN Sidorovbigramsupostag ngram,0.689,0.604,0.644,0.646,0.726,0.684,0.668,0.665,0.664,0.665,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.702,0.581,0.636,0.641,0.752,0.692,0.671,0.666,0.664,0.666,3977,872
italian,RF,relationformVERB deprelneg Sidorovbigramsupostag relationformNOUN,0.671,0.645,0.658,0.657,0.683,0.670,0.664,0.664,0.664,0.664,3977,872
italian,LR,relationformVERB Sidorovbigramsform Sidorovbigramsdeprel ngram,0.702,0.581,0.636,0.641,0.752,0.692,0.671,0.666,0.664,0.666,3977,872
english,RF,relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.745,0.698,0.721,0.581,0.637,0.607,0.663,0.667,0.664,0.674,3834,784
english,RF,Sidorovbigramsdeprel chargrams relationformADJ,0.749,0.687,0.717,0.577,0.650,0.611,0.663,0.668,0.664,0.672,3834,784
italian,RF,relationformADJ ngrams deprel relationformVERB Sidorovbigramsupostag chargram,0.691,0.600,0.642,0.645,0.731,0.685,0.668,0.665,0.664,0.665,3977,872
italian,SVC,relationformADJ Sidorovbigramsdeprel ngrams deprelneg relationformVERB relationformNOUN Sidorovbigramsform,0.703,0.579,0.635,0.641,0.754,0.693,0.672,0.666,0.664,0.666,3977,872
italian,SVC,relationformADJ Sidorovbigramsdeprel ngrams relationformVERB relationformNOUN Sidorovbigramsform,0.703,0.579,0.635,0.641,0.754,0.693,0.672,0.666,0.664,0.666,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.690,0.602,0.643,0.646,0.729,0.685,0.668,0.665,0.664,0.665,3977,872
italian,LR,relationformVERB deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.703,0.579,0.635,0.641,0.754,0.693,0.672,0.666,0.664,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsdeprel,0.703,0.579,0.635,0.641,0.754,0.693,0.672,0.666,0.664,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.703,0.579,0.635,0.641,0.754,0.693,0.672,0.666,0.664,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN Sidorovbigramsform relationformADJ Sidorovbigramsupostag ngram,0.691,0.600,0.642,0.645,0.731,0.685,0.668,0.665,0.664,0.665,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN Sidorovbigramsform Sidorovbigramsupostag ngram,0.690,0.602,0.643,0.646,0.729,0.685,0.668,0.665,0.664,0.665,3977,872
italian,LR,relationformVERB chargrams Sidorovbigramsdeprel ngram,0.704,0.577,0.634,0.640,0.756,0.693,0.672,0.667,0.664,0.666,3977,872
italian,LR,relationformVERB deprel chargrams relationformADJ Sidorovbigramsdeprel,0.704,0.577,0.634,0.640,0.756,0.693,0.672,0.667,0.664,0.666,3977,872
italian,LR,relationformVERB deprelneg chargrams Sidorovbigramsdeprel ngram,0.704,0.577,0.634,0.640,0.756,0.693,0.672,0.667,0.664,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams relationformADJ Sidorovbigramsdeprel,0.704,0.577,0.634,0.640,0.756,0.693,0.672,0.667,0.664,0.666,3977,872
english,LR,deprel relationformADJ Sidorovbigramsform relationformNOUN deprelneg ngrams Sidorovbigramsupostag chargrams relationformVERB,0.752,0.679,0.713,0.574,0.659,0.614,0.663,0.669,0.664,0.671,3834,784
english,LR,deprel relationformADJ Sidorovbigramsform relationformNOUN deprelneg Sidorovbigramsupostag chargrams relationformVERB,0.752,0.679,0.713,0.574,0.659,0.614,0.663,0.669,0.664,0.671,3834,784
english,LR,deprel relationformADJ Sidorovbigramsform relationformNOUN ngrams Sidorovbigramsupostag chargrams relationformVERB,0.752,0.679,0.713,0.574,0.659,0.614,0.663,0.669,0.664,0.671,3834,784
english,LR,deprel Sidorovbigramsform relationformNOUN deprelneg ngrams Sidorovbigramsupostag chargrams relationformVERB,0.752,0.679,0.713,0.574,0.659,0.614,0.663,0.669,0.664,0.671,3834,784
english,LR,deprel Sidorovbigramsform relationformNOUN ngrams Sidorovbigramsupostag chargrams relationformVERB,0.752,0.679,0.713,0.574,0.659,0.614,0.663,0.669,0.664,0.671,3834,784
english,RF,ngrams deprelneg deprel chargrams relationformADJ,0.740,0.710,0.725,0.585,0.621,0.602,0.662,0.666,0.664,0.675,3834,784
english,RF,ngrams Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.740,0.710,0.725,0.585,0.621,0.602,0.662,0.666,0.664,0.675,3834,784
italian,RF,relationformADJ ngrams Sidorovbigramsform deprel chargram,0.693,0.595,0.640,0.644,0.736,0.687,0.669,0.665,0.664,0.665,3977,872
italian,SVC,relationformADJ Sidorovbigramsdeprel deprel relationformNOUN Sidorovbigramsform,0.679,0.625,0.651,0.651,0.703,0.676,0.665,0.664,0.664,0.664,3977,872
italian,LR,relationformVERB deprelneg chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel ngram,0.705,0.574,0.633,0.640,0.759,0.694,0.672,0.667,0.664,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsdeprel Sidorovbigramsupostag,0.705,0.574,0.633,0.640,0.759,0.694,0.672,0.667,0.664,0.666,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformNOUN,0.694,0.593,0.640,0.643,0.738,0.687,0.669,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprel chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.706,0.572,0.632,0.639,0.761,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB deprel relationformNOUN chargrams relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.706,0.572,0.632,0.639,0.761,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB deprel Sidorovbigramsform relationformADJ Sidorovbigramsupostag ngram,0.694,0.593,0.640,0.643,0.738,0.687,0.669,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprel Sidorovbigramsform Sidorovbigramsupostag ngram,0.694,0.593,0.640,0.643,0.738,0.687,0.669,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.706,0.572,0.632,0.639,0.761,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel Sidorovbigramsform Sidorovbigramsupostag ngram,0.694,0.593,0.640,0.643,0.738,0.687,0.669,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams relationformADJ Sidorovbigramsdeprel ngram,0.706,0.572,0.632,0.639,0.761,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel ngram,0.706,0.572,0.632,0.639,0.761,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB relationformNOUN chargrams relationformADJ Sidorovbigramsdeprel ngram,0.706,0.572,0.632,0.639,0.761,0.695,0.673,0.667,0.663,0.666,3977,872
english,LR,deprel relationformADJ relationformNOUN deprelneg ngrams Sidorovbigramsupostag chargrams relationformVERB,0.751,0.681,0.714,0.575,0.656,0.613,0.663,0.668,0.663,0.671,3834,784
english,LR,deprel relationformADJ relationformNOUN ngrams Sidorovbigramsupostag chargrams relationformVERB,0.751,0.681,0.714,0.575,0.656,0.613,0.663,0.668,0.663,0.671,3834,784
italian,RF,deprel relationformVERB deprelneg chargrams relationformNOUN,0.695,0.590,0.639,0.643,0.740,0.688,0.669,0.665,0.663,0.665,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprelneg relationformNOUN,0.727,0.542,0.621,0.634,0.795,0.705,0.680,0.669,0.663,0.669,3977,872
italian,SVC,relationformADJ Sidorovbigramsupostag ngrams deprelneg relationformVERB Sidorovbigramsform,0.695,0.590,0.639,0.643,0.740,0.688,0.669,0.665,0.663,0.665,3977,872
italian,RF,Sidorovbigramsdeprel deprel chargrams relationformNOUN,0.695,0.590,0.639,0.643,0.740,0.688,0.669,0.665,0.663,0.665,3977,872
english,RF,Sidorovbigramsdeprel Sidorovbigramsupostag chargrams Sidorovbigramsform relationformNOUN,0.743,0.702,0.722,0.582,0.630,0.605,0.662,0.666,0.663,0.674,3834,784
italian,RF,ngrams Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag,0.684,0.613,0.647,0.648,0.715,0.680,0.666,0.664,0.663,0.664,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag,0.707,0.570,0.631,0.639,0.763,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams relationformADJ Sidorovbigramsupostag ngram,0.707,0.570,0.631,0.639,0.763,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB relationformNOUN chargrams relationformADJ Sidorovbigramsupostag ngram,0.707,0.570,0.631,0.639,0.763,0.695,0.673,0.667,0.663,0.666,3977,872
italian,LR,chargrams Sidorovbigramsdeprel Sidorovbigramsupostag,0.698,0.586,0.637,0.642,0.745,0.689,0.670,0.665,0.663,0.665,3977,872
italian,LR,deprelneg deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.709,0.568,0.630,0.638,0.766,0.696,0.673,0.667,0.663,0.666,3977,872
italian,SVC,Sidorovbigramsdeprel ngrams deprelneg relationformVERB Sidorovbigramsform,0.698,0.586,0.637,0.642,0.745,0.689,0.670,0.665,0.663,0.665,3977,872
italian,SVC,Sidorovbigramsdeprel ngrams relationformVERB Sidorovbigramsform,0.698,0.586,0.637,0.642,0.745,0.689,0.670,0.665,0.663,0.665,3977,872
english,RF,relationformVERB deprel Sidorovbigramsupostag chargrams relationformADJ relationformNOUN,0.733,0.732,0.732,0.593,0.595,0.594,0.663,0.663,0.663,0.677,3834,784
english,RF,Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.746,0.693,0.719,0.579,0.640,0.608,0.662,0.667,0.663,0.672,3834,784
english,RF,ngrams deprel chargrams relationformADJ Sidorovbigramsform,0.742,0.704,0.722,0.582,0.627,0.604,0.662,0.666,0.663,0.674,3834,784
italian,RF,ngrams Sidorovbigramsdeprel deprel,0.686,0.609,0.645,0.647,0.720,0.681,0.666,0.664,0.663,0.664,3977,872
italian,SVC,Sidorovbigramsdeprel Sidorovbigramsupostag deprel ngrams deprelneg relationformVERB relationformNOUN Sidorovbigramsform,0.686,0.609,0.645,0.647,0.720,0.681,0.666,0.664,0.663,0.664,3977,872
italian,SVC,Sidorovbigramsdeprel Sidorovbigramsupostag deprel ngrams relationformVERB relationformNOUN Sidorovbigramsform,0.686,0.609,0.645,0.647,0.720,0.681,0.666,0.664,0.663,0.664,3977,872
english,LR,deprel relationformNOUN deprelneg Sidorovbigramsupostag chargrams relationformVERB,0.754,0.672,0.711,0.572,0.666,0.615,0.663,0.669,0.663,0.670,3834,784
english,LR,deprel relationformNOUN Sidorovbigramsupostag chargrams relationformVERB,0.754,0.672,0.711,0.572,0.666,0.615,0.663,0.669,0.663,0.670,3834,784
english,RF,ngrams deprel chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.738,0.715,0.726,0.586,0.614,0.600,0.662,0.664,0.663,0.675,3834,784
italian,RF,ngrams Sidorovbigramsdeprel relationformVERB,0.687,0.606,0.644,0.646,0.722,0.682,0.666,0.664,0.663,0.664,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprelneg chargrams relationformNOUN,0.710,0.565,0.629,0.637,0.768,0.697,0.674,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB chargrams Sidorovbigramsform ngram,0.710,0.565,0.629,0.637,0.768,0.697,0.674,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB deprelneg chargrams Sidorovbigramsform ngram,0.710,0.565,0.629,0.637,0.768,0.697,0.674,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsupostag ngram,0.710,0.565,0.629,0.637,0.768,0.697,0.674,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB relationformNOUN chargrams Sidorovbigramsupostag ngram,0.710,0.565,0.629,0.637,0.768,0.697,0.674,0.667,0.663,0.666,3977,872
english,RF,deprel Sidorovbigramsupostag chargrams relationformADJ,0.748,0.685,0.715,0.576,0.650,0.610,0.662,0.667,0.663,0.671,3834,784
english,RF,deprelneg Sidorovbigramsdeprel chargrams relationformADJ Sidorovbigramsform relationformNOUN,0.744,0.696,0.719,0.579,0.637,0.606,0.662,0.666,0.663,0.672,3834,784
italian,LR,deprelneg relationformNOUN chargrams Sidorovbigramsdeprel Sidorovbigramsupostag,0.700,0.581,0.635,0.641,0.749,0.691,0.670,0.665,0.663,0.665,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg,0.670,0.645,0.657,0.656,0.681,0.668,0.663,0.663,0.663,0.663,3977,872
italian,RF,ngrams Sidorovbigramsform deprel relationformVERB deprelneg relationformNOUN,0.669,0.648,0.658,0.657,0.678,0.667,0.663,0.663,0.663,0.663,3977,872
italian,SVC,relationformADJ Sidorovbigramsupostag deprel ngrams relationformVERB relationformNOUN,0.688,0.604,0.643,0.646,0.724,0.683,0.667,0.664,0.663,0.664,3977,872
italian,LR,relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsupostag ngram,0.711,0.563,0.628,0.637,0.770,0.697,0.674,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.700,0.581,0.635,0.641,0.749,0.691,0.670,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.711,0.563,0.628,0.637,0.770,0.697,0.674,0.667,0.663,0.666,3977,872
italian,LR,relationformVERB deprel relationformNOUN chargrams Sidorovbigramsdeprel,0.700,0.581,0.635,0.641,0.749,0.691,0.670,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprelneg chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.700,0.581,0.635,0.641,0.749,0.691,0.670,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag ngram,0.688,0.604,0.643,0.646,0.724,0.683,0.667,0.664,0.663,0.664,3977,872
italian,LR,relationformVERB relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.700,0.581,0.635,0.641,0.749,0.691,0.670,0.665,0.663,0.665,3977,872
english,RF,relationformVERB deprel chargrams relationformADJ,0.748,0.685,0.715,0.576,0.650,0.610,0.662,0.667,0.663,0.671,3834,784
italian,RF,ngrams deprel relationformVERB Sidorovbigramsupostag,0.671,0.643,0.657,0.656,0.683,0.669,0.663,0.663,0.663,0.663,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprel relationformVERB relationformNOUN,0.659,0.680,0.669,0.668,0.646,0.657,0.663,0.663,0.663,0.663,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.701,0.579,0.634,0.640,0.752,0.691,0.670,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.701,0.579,0.634,0.640,0.752,0.691,0.670,0.665,0.663,0.665,3977,872
english,RF,ngrams relationformVERB deprelneg chargrams Sidorovbigramsform relationformNOUN,0.737,0.717,0.727,0.586,0.611,0.598,0.662,0.664,0.663,0.675,3834,784
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsupostag chargram,0.737,0.717,0.727,0.586,0.611,0.598,0.662,0.664,0.663,0.675,3834,784
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag relationformNOUN,0.674,0.634,0.653,0.653,0.692,0.672,0.663,0.663,0.663,0.663,3977,872
italian,SVC,relationformADJ Sidorovbigramsupostag deprel ngrams deprelneg Sidorovbigramsform,0.690,0.600,0.641,0.644,0.729,0.684,0.667,0.664,0.663,0.664,3977,872
italian,LR,relationformVERB deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.702,0.577,0.633,0.639,0.754,0.692,0.671,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprel relationformNOUN Sidorovbigramsform Sidorovbigramsupostag ngram,0.690,0.600,0.641,0.644,0.729,0.684,0.667,0.664,0.663,0.664,3977,872
italian,LR,relationformVERB deprel Sidorovbigramsdeprel ngram,0.690,0.600,0.641,0.644,0.729,0.684,0.667,0.664,0.663,0.664,3977,872
italian,LR,relationformVERB deprelneg deprel chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.702,0.577,0.633,0.639,0.754,0.692,0.671,0.665,0.663,0.665,3977,872
italian,LR,relationformVERB deprelneg deprel Sidorovbigramsdeprel ngram,0.690,0.600,0.641,0.644,0.729,0.684,0.667,0.664,0.663,0.664,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.702,0.577,0.633,0.639,0.754,0.692,0.671,0.665,0.663,0.665,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB relationformNOUN,0.674,0.634,0.653,0.653,0.692,0.672,0.663,0.663,0.663,0.663,3977,872
english,RF,ngrams Sidorovbigramsdeprel Sidorovbigramsupostag chargrams Sidorovbigramsform,0.747,0.687,0.716,0.576,0.646,0.609,0.662,0.667,0.663,0.671,3834,784
english,RF,ngrams deprelneg Sidorovbigramsdeprel deprel chargrams Sidorovbigramsform relationformNOUN,0.740,0.708,0.724,0.583,0.621,0.601,0.661,0.664,0.662,0.674,3834,784
english,RF,ngrams relationformVERB deprel chargrams relationformADJ,0.740,0.708,0.724,0.583,0.621,0.601,0.661,0.664,0.662,0.674,3834,784
english,RF,ngrams relationformVERB deprelneg Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformADJ,0.740,0.708,0.724,0.583,0.621,0.601,0.661,0.664,0.662,0.674,3834,784
italian,LR,deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.703,0.574,0.632,0.639,0.756,0.693,0.671,0.665,0.662,0.665,3977,872
italian,LR,deprel relationformNOUN Sidorovbigramsform Sidorovbigramsdeprel,0.692,0.595,0.640,0.643,0.733,0.685,0.667,0.664,0.662,0.664,3977,872
italian,LR,deprelneg deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ Sidorovbigramsdeprel,0.703,0.574,0.632,0.639,0.756,0.693,0.671,0.665,0.662,0.665,3977,872
italian,LR,deprelneg deprel relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel,0.703,0.574,0.632,0.639,0.756,0.693,0.671,0.665,0.662,0.665,3977,872
italian,LR,deprelneg relationformNOUN chargrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag,0.703,0.574,0.632,0.639,0.756,0.693,0.671,0.665,0.662,0.665,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag,0.677,0.627,0.651,0.651,0.699,0.674,0.664,0.663,0.662,0.663,3977,872
italian,LR,relationformVERB deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ ngram,0.714,0.558,0.626,0.636,0.775,0.698,0.675,0.667,0.662,0.666,3977,872
italian,LR,relationformVERB deprel relationformNOUN Sidorovbigramsform relationformADJ Sidorovbigramsdeprel ngram,0.692,0.595,0.640,0.643,0.733,0.685,0.667,0.664,0.662,0.664,3977,872
italian,LR,relationformVERB deprel relationformNOUN Sidorovbigramsform Sidorovbigramsdeprel ngram,0.692,0.595,0.640,0.643,0.733,0.685,0.667,0.664,0.662,0.664,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN chargrams Sidorovbigramsform relationformADJ ngram,0.714,0.558,0.626,0.636,0.775,0.698,0.675,0.667,0.662,0.666,3977,872
italian,LR,relationformVERB deprelneg deprel relationformNOUN Sidorovbigramsform relationformADJ Sidorovbigramsdeprel ngram,0.692,0.595,0.640,0.643,0.733,0.685,0.667,0.664,0.662,0.664,3977,872
italian,LR,relationformVERB deprelneg relationformNOUN chargrams Sidorovbigramsdeprel ngram,0.703,0.574,0.632,0.639,0.756,0.693,0.671,0.665,0.662,0.665,3977,872
